"Metric 1: Fossil energy content of Hawaii fuel use (BTU) per capita","","","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Air TransportationJet fuel","Jet fuel","JFACB","Billion Btu","105","","23519","26540","26015","33588","37911","42262","52755","67277","77451","78939","80060","91531","91261","92860","83633","83464","79834","83618","83578","85912","79244","56165","41635","62471","72629","74436","56962","64386","67174","74414","71051","62557","56501","50409","53705","56358","57194","57955","56695","53720","53511","50437","57774","72056","75861","92831","86945","72329","60679","52748","55775","62077","64135","64201","73270","76095","74301","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"Air TransportationAll Fuels","All Fuels","","Billion Btu","","","36845","42029","35366","39142","40632","45356","57240","69630","78654","79756","80732","92240","91983","93526","84255","84047","80489","84361","84288","86682","80248","57086","42326","63258","73364","75220","58370","65645","68594","75863","72426","63877","57730","51411","54766","57458","58027","58564","57235","54014","53737","50681","57863","72133","76058","93055","87153","72535","60819","52897","55963","62253","64290","64337","73410","76140","74332","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"Power","","","","","deleted 'Direct Fuel Use'","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PowerPetroleum","Petroleum","PAEIB","Billion Btu","212","","17311","19176","21192","24002","26402","27339","29374","31040","34422","38192","42693","47354","53667","55121","56955","58328","61952","64752","66553","67498","69543","69597","66332","68080","69697","69102","72389","76184","81422","85381","97601","80332","86163","76149","79055","80199","82650","81754","82264","83385","84350","84037","91446","81275","84992","86104","86531","85210","81928","80305","78132","77542","72287","69932","66970","67297","64943","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"PowerDistillate fuel oil","Distillate fuel oil","DKEIB","Billion Btu","50","","218","239","264","312","343","355","381","403","447","496","557","590","1554","1433","2053","2498","2605","3198","4517","4632","5171","4539","3523","3772","4812","4378","4798","6228","7420","8333","10562","9958","12657","12640","12618","12870","13520","13398","14042","14867","16148","17312","23199","13367","14464","15035","14236","13377","12712","13008","12976","13071","12601","11992","11855","12310","11746","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"PowerResidual fuel oil","Residual fuel oil","RFEIB","Billion Btu","246","","17094","18937","20929","23691","26059","26984","28992","30637","33975","37696","42136","46765","52113","53688","54902","55830","59347","61554","62035","62867","64372","65059","62809","64309","64885","64724","67592","69956","74002","77048","87038","70373","73505","63509","66437","67329","69130","68356","68222","68518","68202","66725","68247","67907","70527","71070","72295","71832","69217","67297","65157","64471","59686","57940","55115","54987","53197","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"PowerSynthetic Natural Gas","Synthetic Natural Gas","NGEIB","Billion Btu","176","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"PowerCoal","Coal","CLEIB","Billion Btu","22","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","144","5583","13762","13891","15795","16731","16778","14859","14999","15514","15730","15963","16670","16661","15095","14465","15313","15784","15049","15702","14775","15432","13948","15873","14495","16160","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"PowerBiofuels","Biofuels","-","Billion Btu","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17.73695025","257.9683266","178.7199705","236.96131455","279.27919395","390.006380358","289.4631696","408.22959555","104.08490955","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"PowerEthanol","Ethanol","","Billion Btu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PowerBiodiesel","Biodiesel","","Billion Btu","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17.73695025","257.9683266","178.7199705","236.96131455","279.27919395","390.006380358","289.4631696","408.22959555","104.08490955","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"PowerAll Fuels","All Fuels","","Billion Btu","","","17311.0","19176.0","21192.0","24002.0","26402.0","27339.0","29374.0","31040.0","34422.0","38192.0","42693.0","47354.0","53667.0","55121.0","56955.0","58328.0","61952.0","64752.0","66553.0","67498.0","69543.0","69597.0","66332.0","68080.0","69697.0","69102.0","72389.0","76184.0","81422.0","85381.0","97627.0","80476.0","91746.0","89911.0","92946.0","95994.0","99381.0","98532.0","97123.0","98384.0","99864.0","99767.0","107409.0","97945.0","101653.0","101199.0","100996.0","100523.0","97712.0","95354.0","93851.7369502","92574.9683266","87897.7199705","84116.9613146","83122.279194","82182.0063804","81392.4631696","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"All Sectors","","","","","deleted 'Direct Fuel Use'","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All SectorsPetroleum","Petroleum","","Billion Btu","","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"All SectorsAviation gasoline","Aviation gasoline","","Billion Btu","","","13326","15489","9351","5554","2721","3094","4485","2353","1203","817","672","709","722","666","622","583","655","743","710","770","1004","921","691","787","735","784","1408","1259","1420","1449","1375","1320","1229","1002","1061","1100","833","609","540","294","226","244","89","77","197","224","208","206","140","149","188","176","155","136","140","45","31","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"All SectorsAsphalt and road oil","Asphalt and road oil","","Billion Btu","","","193","1394","1215","1124","1464","2033","1722","1402","1727","1843","2503","1913","2156","2202","1703","2513","2656","2200","1937","1753","1892","1243","1140","1720","1359","2045","1808","2636","2332","1966","2530","2543","2858","2946","2699","2907","2663","2630","2138","2340","4009","2271","710","732","799","1319","21","19","16","4545","5127","4659","2927","4781","4495","4232","2739","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"All SectorsDistillate fuel oil","Distillate fuel oil","","Billion Btu","","","5161","9689","9535","7934","10261","9390","8024","7037","8271","9328","9871","9956","10344","10702","11367","11347","13613","16686","20778","38254","34875","35071","26475","13551","15931","26361","26955","21463","32802","33465","37796","41999","36223","34539","36790","33682","28807","27002","25898","30919","29642","35145","47051","47749","50234","42513","38830","53756","31794","34989","39607","36458","35199","32991","25161","27284","26158","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"All SectorsJet fuel","Jet fuel","","Billion Btu","","","23519","26540","26015","33588","37911","42262","52755","67277","77451","78939","80060","91531","91261","92860","83633","83464","79834","83618","83578","85912","79244","56165","41635","62471","72629","74436","56962","64386","67174","74414","71051","62557","56501","50409","53705","56358","57194","57955","56695","53720","53511","50437","57774","72056","75861","92831","86945","72329","60679","52748","55775","62077","64135","64201","73270","76095","74301","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"All SectorsKerosene","Kerosene","","Billion Btu","","","517","393","313","281","284","278","211","187","153","164","867","453","294","233","425","429","729","957","827","227","51","0","0","7","8","8","18","11","2","2","2","2","1","6","4","3","3","3","2","1","1","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"All SectorsLPG","LPG","","Billion Btu","","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"All SectorsLubricants","Lubricants","","Billion Btu","","","228","222","549","549","577","571","592","517","569","423","432","482","517","514","493","631","700","571","612","641","571","548","500","523","558","520","508","574","554","568","584","523","533","543","568","558","541","572","598","605","596","545","539","498","505","502","490","506","469","422","626","651","584","615","572","627","584","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"All SectorsMotor Gasoline","Motor Gasoline","","Billion Btu","","","18011","18628","19476","19733","20280","21444","22557","23774","25647","27188","29893","30844","32578","34713","34373","35542","36926","38904","40129","39428","37985","37744","38144","38031","39546","39891","41381","42998","44526","45985","45542","47120","46592","47400","48874","49131","48911","48800","48721","46672","48435","50626","54292","55134","55864","57064","59865","58497","54721","55263","50743","56482","53598","54394","54804","55929","56763","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"All SectorsOther petroleum products","Other petroleum products","","Billion Btu","","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"All SectorsResidual fuel oil","Residual fuel oil","","Billion Btu","","","29961","37255","37561","40430","43789","45454","49046","55438","61225","63219","63841","67280","71281","72769","69926","70758","74635","79812","78942","76496","82963","82738","83568","76371","80446","82895","90070","85469","106471","109113","119872","98072","112261","87046","95060","90994","79638","76812","83261","81383","85000","83518","80087","75939","82423","83049","92335","102594","78093","77860","74747","73623","67436","65250","62059","61257","60853","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"All SectorsSynthetic Natural Gas","Synthetic Natural Gas","","Billion Btu","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3016","2780","2773","2731","2438","2686","2674","2787","2816","2909","2983","2909","2893","2847","2920","2905","2825","2689","2803","2885","2975","2920","2898","2860","2907","2898","2914","2956","2817","2712","2732","2743","2812","2870","2797","2872","2983","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"All SectorsCoal","Coal","","Billion Btu","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1149","1040","941","1124","395","1573","1242","795","721","1063","6750","15575","15740","19914","20371","20513","18223","17691","17653","17774","16618","18044","17914","16506","16102","17108","18095","17082","17117","16080","16572","15306","17241","15631","16431","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"All SectorsBiofuels","Biofuels","","Billion Btu","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1191.0","1361.0","1738.0","3225.0","3687.0","2827.415445","3810.262948","3334.15549","3559.580699","3929.620431","4848.68084524","4643.251488","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Ethanol","","Billion Btu","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1191","1361","1738","3225","3687","2788","3237","2937","3033","3309","3982","4000","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Biodiesel","","Billion Btu","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","39.415445","573.262948","397.15549","526.580699","620.620431","866.68084524","643.251488","907.176879","231.299799","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"All SectorsAll Fuels","All Fuels","","Billion Btu","","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"Variable PO(y) and GSP(y): Hawaii’s People, Population by year","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Hawaii","De Facto Population","","","#N/A","#N/A","#N/A","#N/A","#N/A","715400.0","724600.0","742600.0","758800.0","778800.0","798600.0","833100.0","869800.0","901300.0","923700.0","943500.0","970300.0","992300.0","1014300.0","1042700.0","1054218.0","1061588.0","1082311.0","1107563.0","1129088.0","1136160.0","1165826.0","1185394.0","1198637.0","1234640.0","1240013.0","1252265.0","1271662.0","1267849.0","1289804.0","1298096.0","1303915.0","1327930.0","1334125.0","1332442.0","1336005.0","1337629.0","1353051.0","1358755.0","1387569.0","1412500.0","1430516.0","1433461.0","1432620.0","1442556.0","1468677.0","1489825.26389","1517102.0","1540411.0","1557668.0","1576702.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","","Hawaii","GSP","","","","","","0","0","","","","","18411.6914866","19414.1001986","19914.5684634","20690.9560689","22166.4749614","22868.2631949","23947.6260097","23681.7985674","24691.3774731","25679.0684895","26793.7480225","27705.672925","27726.6990111","28068.2087309","29610.0949699","31696.4823674","33266.771678","35307.8647835","37246.3929264","39731.4793085","41994.7658831","44772.164042","45758.9110378","47046.125239","46719.5066233","46571.3712069","46068.6856772","45676.0961856","46013.7985762","44302.3122006","45186.9836523","46562.2780217","46704.3025663","48401.7807996","50998.2787099","53967.1466558","56901.0","59173.9181743","60552.165744","61160.6428218","59597.8869735","61145.5431596","62319.9473719","63332.4871405","63825.8524765","64527.7136688","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Source: ","http://www.bea.gov/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Petrol Weight adjuster:","#N/A","","Go to the 'Interactive Data' tab, and select SIC codes for 1963-1997 and NAICS from 1997-2011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Variable EUEC(c,y): Embedded Upstream Energy Content by year and fuel","","","","","","","Blue = Weighted Average","","Red = clostest year of known data","","","Green = substituted a different fuel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All Sectors","*LCFC data changes between years based on petroleum fuel source mix as different petroleum products have different LCFCs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Petroleum","","","","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Aviation gasoline","#N/A","Used Motor Gasoline","","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Asphalt and road oil","#N/A","Used Petrol","","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Distillate fuel oil","#N/A","Used Diesel","","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Jet fuel","#N/A","","","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Kerosene","#N/A","Used Petrol","","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","LPG","#N/A","Used Petrol","","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Lubricants","#N/A","Used Petrol","","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Motor Gasoline","#N/A","","","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Other petroleum products","#N/A","Used Petrol","","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
