"Metric 3: Carbon content of Hawai'i fossil fuel use","","","","","Notes","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"","","","Industrial","","Notes","0","0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"","","","Power","","Notes","0","0","1601191.59748","1773593.46541","1960146.34504","2220044.01076","2441928.17448","2528591.55981","2716716.77407","2870898.05833","3183700.15991","3532388.48723","3948687.20374","4379876.85412","4963675.45413","5098156.31034","5267783.4701","5394772.61424","5729957.36177","5988930.12477","6155412.61526","6243000.90332","6432051.0203","6437137.98529","6135064.75531","6296830.24191","6446294.52227","6391262.81013","6695370.8261","7046278.91996","7530742.9673","7896911.95612","9029747.4891","7444772.72001","8548252.83894","8470528.14709","8752685.61897","9055990.06404","9379771.88193","9301775.7511","9149894.31674","9268097.64555","9410769.99184","9404225.49655","10113654.2388","9246177.9403","9589030.74318","9529628.94674","9503682.00282","9469370.07592","9214857.24212","8988413.93959","8855258.58106","8704442.21001","8286554.24804","7914809.28297","7840526.92917","7727835.90161","7682818.70015","#N/A","#N/A","","","","","","","","","",""
"","","","Ground and Water Transportation","","Notes","0","0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"","","","Air Transportation","","Notes","0","0","3266615.44976","3727258.74394","3123086.6665","3439246.4513","3559190.01398","3973196.52308","5016330.12654","6090962.8894","6875101.69594","6969974.40735","7054709.39928","8060115.96791","8037712.78672","8172298.54876","7362278.2878","7343967.98177","7033421.0137","7371974.10577","7365478.26173","7574820.76015","7013626.94291","4990027.63001","3699849.05336","5528695.1715","6411310.13813","6573616.3684","5103946.40745","5738911.64825","5997099.93108","6632182.82184","6331679.32253","5584689.19844","5047394.28086","4494584.07998","4787870.44532","5023168.80696","5071910.73425","5118012.35997","5001669.73074","4719414.61519","4694972.3042","4428082.49356","5054902.15253","6301404.60072","6644702.84555","8129561.05551","7613938.35002","6336986.13228","5313305.31243","4621317.07879","4889285.94477","5438701.16118","5616566.13418","5620603.28165","6413183.17399","6651317.86412","6493330.83161","#N/A","#N/A","","","","","","","","","",""
"","","","All","","Notes","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"","","","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Metric 3 Title","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","All Fuels Life Cycle Emissions in 2013","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","CO2e Emissions of Hawaii (CO2)","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Life Cycle Analysis Comparison (CO2)","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Tons CO2e","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","ResidentialAll Fuels","Residential","","Notes","#N/A","#N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","CommercialAll Fuels","Commercial","","Notes","#N/A","#N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IndustrialAll Fuels","Industrial","","Notes","#N/A","#N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","PowerAll Fuels","Power","","Notes","8704442.21001","7914809.28297","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Ground and Water TransportationAll Fuels","Ground and Water Transportation","","Notes","#N/A","#N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Air TransportationAll Fuels","Air Transportation","","Notes","5438701.16118","5620603.28165","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Summary of Emissions by Sector Pre Life-Cycle","","","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Residential","Total","Direct Fuel Use","Metric Tons CO2e/","","Notes","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Commercial","Total","Direct Fuel Use","Metric Tons CO2e/","","Notes","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Industrial","Total","Direct Fuel Use","Metric Tons CO2e/","","Notes","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Ground/Water Transportation","Total","Ground/Water Transportation ","Metric Tons CO2e/","","Notes","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Air Transportation","Total","Air Transportation ","Metric Tons CO2e/","","Notes","2649710.28667","3022264.44667","2546375.18667","2822469.61333","2932590.32","3273492.34667","4130689.2","5027536.36","5680381.96","5760322.77333","5830950.10667","6662178.74667","6643603.34","6755108.65333","6085472.14","6070481.92667","5813412.36667","6093022.39333","6087778.4","6260652.2","5795697.01333","4122701.58667","3056739.98667","4568643.64","5298679.46667","5432701.41333","4215020.62667","4740649.24667","4953523.66667","5478562.24667","5230361.4","4612887.03333","4168948.81333","3712706.14","3954997.05333","4149414.86667","4190750.59333","4229737.01333","4133799.63333","3901352.54667","3881403.75333","3660642.84667","4179559.04667","5210339.27333","5493749.50667","6721475.71333","6295168.66","5239263.55333","4393035.9","3820795.51333","4042228.59333","4496586.82","4643744.6","4647156.28667","5302525.8","5499806.4","5369220.85333","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Power","Total","Electrical Power Production","Metric Tons CO2e/","","Notes","1282665.31556","1420771.14667","1570212.91778","1778408.94","1956153.51556","2025576.88667","2176278.20667","2299788.08889","2550364.22667","2829687.71556","3163171.80667","3508584.56667","3976247.66","4083976.13556","4219859.23333","4321586.32889","4590092.51556","4797547.62667","4930911.62667","5001075.90889","5152518.14","5156593.15111","4914611.58222","5044196.93556","5163928.17111","5119843.96","5363455.53333","5644557.20889","6032646.44889","6325973.15778","7233750.13778","5965424.88667","6911580.69556","6942840.00667","7170342.71556","7435081.72","7705155.99333","7643213.11111","7499602.90444","7595892.77333","7716071.92889","7713299.17111","8284264.92667","7597440.49778","7871986.41778","7806495.15556","7778506.16889","7760716.33333","7562219.54889","7372418.48444","7273218.50444","7141804.43778","6814559.66889","6499797.52889","6462303.49111","6356273.53778","6339249.96222","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Summary of total Hawaii Emissions","","","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Total","","Metric Tons CO2e/","","Notes","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"","","","kgCO2e/","","Notes","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Summary of Emissions by Sector Post Life-Cycle","","","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Residential","Total","Direct Fuel Use","Metric Tons CO2e/","","Notes","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Commercial","Total","Direct Fuel Use","Metric Tons CO2e/","","Notes","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Industrial","Total","Direct Fuel Use","Metric Tons CO2e/","","Notes","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Ground/Water Transportation","Total","Ground/Water Transportation ","Metric Tons CO2e/","","Notes","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Air Transportation","Total","Air Transportation ","Metric Tons CO2e/","","Notes","3266615.44976","3727258.74394","3123086.6665","3439246.4513","3559190.01398","3973196.52308","5016330.12654","6090962.8894","6875101.69594","6969974.40735","7054709.39928","8060115.96791","8037712.78672","8172298.54876","7362278.2878","7343967.98177","7033421.0137","7371974.10577","7365478.26173","7574820.76015","7013626.94291","4990027.63001","3699849.05336","5528695.1715","6411310.13813","6573616.3684","5103946.40745","5738911.64825","5997099.93108","6632182.82184","6331679.32253","5584689.19844","5047394.28086","4494584.07998","4787870.44532","5023168.80696","5071910.73425","5118012.35997","5001669.73074","4719414.61519","4694972.3042","4428082.49356","5054902.15253","6301404.60072","6644702.84555","8129561.05551","7613938.35002","6336986.13228","5313305.31243","4621317.07879","4889285.94477","5438701.16118","5616566.13418","5620603.28165","6413183.17399","6651317.86412","6493330.83161","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Power","Total","Electrical Power Production","Metric Tons CO2e/","","Notes","1601191.59748","1773593.46541","1960146.34504","2220044.01076","2441928.17448","2528591.55981","2716716.77407","2870898.05833","3183700.15991","3532388.48723","3948687.20374","4379876.85412","4963675.45413","5098156.31034","5267783.4701","5394772.61424","5729957.36177","5988930.12477","6155412.61526","6243000.90332","6432051.0203","6437137.98529","6135064.75531","6296830.24191","6446294.52227","6391262.81013","6695370.8261","7046278.91996","7530742.9673","7896911.95612","9029747.4891","7444772.72001","8548252.83894","8470528.14709","8752685.61897","9055990.06404","9379771.88193","9301775.7511","9149894.31674","9268097.64555","9410769.99184","9404225.49655","10113654.2388","9246177.9403","9589030.74318","9529628.94674","9503682.00282","9469370.07592","9214857.24212","8988413.93959","8855258.58106","8704442.21001","8286554.24804","7914809.28297","7840526.92917","7727835.90161","7682818.70015","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Summary of total Hawaii Emissions","","","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Total","","Metric Tons CO2e/","","Notes","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"","","","kgCO2e/","","Notes","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
