"GeoFIPS","GeoName","Region","ComponentId","ComponentName","IndustryId","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","13","...","   Durable goods manufacturing",211,192,198,226,233,234,234,259,291,320,353,333,314,301,315,297,344,343,356,370
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","14","321","    Wood products manufacturing",11,11,15,16,16,11,14,14,18,20,21,20,18,23,13,12,11,10,11,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","15","327","    Nonmetallic mineral products manufacturing",58,56,61,67,73,79,84,96,106,130,141,119,81,76,82,89,108,119,123,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","16","331","    Primary metals manufacturing","(L)",1,1,1,1,1,1,1,3,4,5,2,1,"(L)",1,"(L)",1,1,1,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","17","332","    Fabricated metal products",29,26,22,29,27,28,33,35,38,36,36,34,33,27,26,28,29,29,33,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","18","333","    Machinery manufacturing",3,4,4,4,2,3,3,3,3,4,5,4,5,6,7,8,7,6,5,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","19","334","    Computer and electronic products manufacturing",18,14,14,21,27,16,5,5,8,7,10,15,23,21,20,20,35,32,32,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","20","335","    Electrical equipment, appliance, and components manufacturing",2,1,1,1,1,1,1,1,2,3,3,2,3,3,5,4,1,1,2,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","21","3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing",6,3,3,4,1,1,2,2,3,2,3,2,2,2,2,1,1,1,1,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","22","3364-3366, 3369","    Other transportation equipment manufacturing",19,15,17,24,27,28,30,33,33,33,53,62,77,76,95,70,78,69,71,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","23","337","    Furniture and related products manufacturing",25,24,26,32,32,31,33,37,34,37,35,32,29,24,23,22,17,17,16,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","24","339","    Miscellaneous manufacturing",42,37,35,27,27,35,29,33,43,43,41,41,43,43,42,44,55,58,60,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","25","...","   Nondurable goods manufacturing",546,535,603,601,692,743,876,842,867,880,868,1041,1020,985,973,1100,1142,1372,1409,1410
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","26","311-312","    Food and beverage and tobacco products manufacturing",231,238,280,249,267,310,345,266,328,373,307,337,392,381,349,399,428,467,493,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","27","313-314","    Textile mills and textile product mills",10,7,6,6,4,5,7,8,12,14,19,16,15,12,12,11,11,12,12,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","28","315-316","    Apparel and leather and allied products manufacturing",39,39,43,35,43,35,28,32,24,21,20,18,15,14,19,20,23,23,24,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","29","322","    Paper products manufacturing",13,11,13,12,11,11,12,13,13,15,14,13,7,6,5,4,3,5,8,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","30","323","    Printing and related support activities",51,47,76,72,62,59,61,64,57,63,65,66,58,56,58,61,65,66,64,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","31","324","    Petroleum and coal products manufacturing",168,162,150,187,251,270,369,401,358,312,377,518,452,421,439,488,491,676,681,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","32","325","    Chemical products manufacturing",23,22,27,29,39,40,40,41,51,61,46,56,64,77,69,89,94,98,99,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","33","326","    Plastics and rubber products manufacturing",11,9,9,11,14,13,13,16,22,22,19,18,19,18,22,26,27,26,28,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","34","42","  Wholesale trade",1444,1462,1477,1541,1593,1632,1746,1848,1959,2004,2112,2177,2042,2094,2182,2277,2377,2437,2539,2573
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","35","44-45","  Retail trade",3287,3155,3169,3344,3452,3518,3885,4137,4484,4618,4624,4486,4383,4562,4895,5151,5303,5300,5494,5682
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","36","48-49","  Transportation and warehousing",2114,1982,1960,1934,1802,1774,1939,2250,2609,2871,2858,2620,2525,2839,2865,3051,3326,3426,3773,4073
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","37","481","   Air transportation",1323,1172,1184,1075,896,905,999,1161,1284,1346,1369,1175,1238,1516,1438,1582,1735,1810,2051,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","38","482","   Rail transportation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","39","483","   Water transportation",103,113,101,114,131,81,96,160,270,436,456,371,289,271,292,287,360,362,377,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","40","484","   Truck transportation",132,157,165,177,182,187,200,208,238,250,258,251,234,240,249,268,272,286,301,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","41","485","   Transit and ground passenger transportation",85,77,80,85,90,92,114,124,131,148,145,140,142,151,166,181,195,203,211,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","42","486","   Pipeline transportation","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)",1,1,"(L)","(L)","(L)","(L)",0,0,0,0,0,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","43","487-488, 492","   Other transportation and support activities",435,427,407,460,479,484,497,559,640,646,584,636,576,613,678,692,724,725,792,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","44","493","   Warehousing and storage",35,36,23,22,24,25,33,38,44,43,45,47,47,48,43,40,40,39,42,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","45","51","  Information",1231,1121,1128,1139,1171,1255,1240,1503,1558,1712,1931,1876,1921,2407,1751,1648,1829,1742,1906,1909
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","46","511","   Publishing industries, except Internet (includes software)",211,218,259,218,244,262,287,330,351,322,392,367,335,303,261,265,271,251,252,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","47","512","   Motion picture and sound recording industries",92,84,93,138,127,170,98,210,132,136,272,228,396,967,427,328,374,276,351,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","48","515, 517","   Broadcasting and telecommunications",902,787,748,760,755,737,764,862,976,1139,1175,1191,1117,1064,986,985,1107,1132,1221,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","49","518, 519","   Data processing, internet publishing, and other information services",27,33,27,23,45,87,91,100,99,114,92,91,72,73,77,70,76,83,82,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","50","52, 53","  Finance, insurance, real estate, rental, and leasing",7702,7715,8215,8711,9210,9653,10242,11490,13009,13616,14588,14962,14717,15580,15823,16560,16764,17198,17892,18861
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","51","52","   Finance and insurance",1231,1227,1303,1476,1607,1881,1957,2117,2241,2243,2301,2208,2065,2072,2239,2352,2245,2704,2711,2874
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","52","521-522","    Federal Reserve banks, credit intermediation, and related services",505,522,629,737,750,1028,1058,1105,1127,1083,1077,1026,876,831,868,933,913,905,974,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","53","523","    Securities, commodity contracts, and investments",135,105,119,132,141,133,114,124,166,182,163,133,137,144,148,156,173,175,177,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","54","524","    Insurance carriers and related activities",590,594,547,600,708,710,771,873,931,965,1035,1023,1037,1069,1189,1198,1099,1393,1442,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","55","525","    Funds, trusts, and other financial vehicles",1,6,8,7,9,10,13,14,17,14,26,27,15,27,33,64,61,231,118,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","56","53","   Real estate and rental and leasing",6471,6488,6913,7235,7603,7772,8285,9373,10768,11373,12287,12754,12652,13508,13585,14208,14519,14494,15181,15987
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","57","531","    Real estate",5745,5761,6151,6444,6767,6960,7431,8505,9813,10300,11223,11630,11621,12464,12495,12911,13141,13116,13772,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","58","532-533","    Rental and leasing services and lessors of intangible assets",726,727,762,790,836,812,854,868,955,1073,1065,1125,1030,1044,1090,1298,1378,1378,1410,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","59","54, 55, 56","  Professional and business services",3031,2859,2965,3220,3702,4140,4461,4795,4946,5303,5479,5790,5564,5864,6177,6435,6720,6939,7318,7614
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","60","54","   Professional, scientific, and technical services",1633,1445,1496,1617,1876,2097,2196,2272,2461,2657,2810,3047,2925,2884,3021,3061,3088,3165,3323,3398
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","61","5411","    Legal services",487,453,456,485,548,553,559,533,567,603,632,703,614,615,646,638,646,687,718,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","62","5415","    Computer systems design and related services",154,160,170,174,224,279,322,332,400,463,468,501,525,500,514,545,573,559,581,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","63","5412-5414, 5416-5419","    Miscellaneous professional, scientific, and technical services",992,832,870,957,1104,1265,1315,1407,1494,1591,1710,1843,1786,1769,1861,1878,1870,1919,2024,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","64","55","   Management of companies and enterprises",395,426,412,427,501,593,634,834,761,772,801,783,729,765,811,902,1005,1015,1059,1133
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","65","56","   Administrative and waste management services",1002,989,1057,1176,1324,1450,1631,1688,1724,1874,1867,1961,1910,2215,2345,2472,2628,2759,2936,3083
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","66","561","    Administrative and support services",905,892,949,1058,1193,1314,1491,1554,1587,1740,1703,1800,1742,2009,2158,2262,2414,2545,2728,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","67","562","    Waste management and remediation services",97,96,108,119,131,135,141,135,136,134,164,161,168,206,187,209,213,215,208,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","68","61, 62","  Educational services, health care, and social assistance",2712,2594,2679,2853,3077,3233,3477,3710,3955,4125,4345,4721,4967,5054,5221,5382,5560,5724,6079,6415
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","69","61","   Educational services",382,373,382,412,423,435,487,534,556,592,627,683,734,748,758,794,782,782,787,794
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","70","62","   Health care and social assistance",2330,2222,2297,2441,2654,2798,2990,3176,3398,3533,3718,4039,4233,4306,4463,4588,4778,4942,5292,5621
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","71","621","    Ambulatory health care services",1394,1228,1264,1350,1477,1579,1693,1685,1797,1867,1927,2089,2131,2164,2282,2349,2434,2518,2697,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","72","622-623","    Hospitals and nursing and residential care facilities",711,750,769,807,836,863,907,1084,1154,1207,1292,1418,1551,1584,1641,1691,1760,1841,1994,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","73","624","    Social assistance",225,244,263,284,341,356,389,406,447,459,499,531,551,558,539,547,583,583,601,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","74","71, 72","  Arts, entertainment, recreation, accommodation, and food services",3570,3979,4231,4715,4580,4821,5183,5671,5978,6241,6503,6246,5523,5686,6110,6731,7267,7331,7780,8198
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","75","71","   Arts, entertainment, and recreation",458,460,475,508,492,518,547,555,560,570,647,705,707,658,642,702,813,847,850,870
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","76","711-712","    Performing arts, spectator sports, museums, and related activities",136,139,145,165,175,188,198,179,164,176,207,260,286,252,264,280,331,358,397,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","77","713","    Amusements, gambling, and recreation industries",321,321,330,344,317,330,349,376,396,394,440,445,421,406,377,422,483,489,453,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","78","72","   Accommodation and food services",3113,3520,3756,4206,4088,4303,4636,5116,5418,5671,5857,5541,4816,5029,5468,6028,6454,6484,6931,7328
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","79","721","    Accommodation",2110,2490,2645,3000,2852,2979,3174,3493,3692,3859,4003,3716,2967,3142,3504,3948,4226,4136,4336,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","80","722","    Food services and drinking places",1003,1029,1111,1206,1236,1324,1462,1623,1727,1812,1854,1825,1848,1886,1964,2081,2227,2348,2595,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","81","81","  Other services, except government",1113,1173,1208,1294,1268,1357,1348,1399,1495,1597,1608,1616,1553,1586,1633,1684,1724,1801,1895,1993
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","82","92"," Government",7778,7998,8441,8621,8938,9701,10498,11315,12044,12781,13409,14230,14697,15323,15994,16352,16288,16929,17428,17698
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","83","...","  Federal civilian",1909,2021,2087,2245,2294,2513,2716,2807,2934,3054,3190,3290,3494,3816,4055,4163,4012,4120,4229,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","84","...","  Federal military",2264,2281,2298,2390,2589,2861,3200,3535,3883,4198,4484,4848,5004,5211,5368,5445,5314,5339,5465,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","85","...","  State and local",3605,3696,4056,3987,4054,4327,4582,4973,5227,5529,5735,6092,6198,6296,6571,6744,6962,7471,7734,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","86","11, 21","Natural resources and mining",372,368,397,396,390,411,454,458,464,508,502,497,496,502,519,510,499,497,499,439
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","87","42, 44-45","Trade",4731,4617,4646,4885,5045,5151,5630,5984,6443,6622,6735,6663,6425,6656,7077,7428,7680,7738,8034,8255
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","88","...","Transportation and utilities",2977,2777,2827,2854,2710,2615,2862,3292,3674,4134,4155,4056,3925,4469,4717,4567,4887,5023,5258,5464
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","89","...","Private goods-producing industries",2809,2750,2885,3179,3390,3655,4195,4596,5471,5923,6457,6531,6091,5600,5513,5745,5910,6410,7009,7509
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","90","...","Private services-providing industries",27068,26837,27898,29672,30762,32225,34443,37844,41058,43350,45344,45931,44594,47302,48510,50435,52432,53496,56162,58710
"15000","Hawaii","8","400","Compensation of employees","1","...","All industry total",21073,21552,22220,23450,24645,26192,27987,30032,32098,33915,35826,36931,36132,36784,38464,39846,41005,42675,44783,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","2","..."," Private industries",14414,14732,15058,16067,16907,17685,18773,20159,21563,22736,24004,24403,23136,23368,24484,25626,26887,27832,29479,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","3","11","  Agriculture, forestry, fishing, and hunting",202,215,241,239,232,237,234,242,230,232,232,245,244,235,234,327,329,338,353,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","4","111-112","   Farms",169,181,203,201,198,201,199,207,197,191,196,209,207,198,189,277,279,284,294,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","5","113-115","   Forestry, fishing, and related activities",34,34,38,38,33,35,35,35,33,42,35,36,38,38,44,50,50,53,59,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","6","21","  Mining",18,17,16,18,18,17,21,26,29,29,30,33,32,30,32,31,28,29,33,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","7","211","   Oil and gas extraction","(T)","(T)","(T)","(T)",0,0,0,0,0,0,0,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"15000","Hawaii","8","400","Compensation of employees","8","212","   Mining, except oil and gas",18,17,16,18,18,17,"(D)","(D)","(D)","(D)","(D)",32,31,30,31,30,27,28,33,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","9","213","   Support activities for mining","(T)","(T)","(T)","(T)",0,0,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"15000","Hawaii","8","400","Compensation of employees","10","22","  Utilities",235,212,227,236,246,254,262,277,286,313,325,351,366,388,442,451,504,520,544,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","11","23","  Construction",1227,1228,1215,1384,1443,1587,1751,1882,2326,2556,2830,2857,2401,2251,2282,2382,2532,2668,3049,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","12","31-33","  Manufacturing",551,540,567,608,650,619,634,675,706,729,769,779,720,700,737,743,772,810,836,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","13","...","   Durable goods manufacturing",161,159,166,193,"(D)","(D)","(D)",225,244,255,278,288,265,247,271,247,249,256,275,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","14","321","    Wood products manufacturing",8,8,11,12,"(D)","(D)","(D)","(D)",14,17,"(D)","(D)","(D)",11,10,9,10,"(D)",9,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","15","327","    Nonmetallic mineral products manufacturing",43,43,45,50,54,58,61,68,74,78,83,81,59,54,56,55,65,71,79,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","16","331","    Primary metals manufacturing","(T)","(T)","(T)","(T)",0,0,0,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"15000","Hawaii","8","400","Compensation of employees","17","332","    Fabricated metal products",19,18,14,19,18,20,24,25,28,27,28,27,"(D)",21,21,22,23,22,23,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","18","333","    Machinery manufacturing","(T)","(T)","(T)","(T)",2,2,2,2,2,2,2,3,3,4,4,"(D)","(D)","(D)","(D)","(NA)"
"15000","Hawaii","8","400","Compensation of employees","19","334","    Computer and electronic products manufacturing",12,11,12,17,31,"(D)","(D)","(D)",5,5,4,10,14,12,13,12,16,18,19,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","20","335","    Electrical equipment, appliance, and components manufacturing","(T)","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",2,3,3,"(D)","(D)","(D)","(NA)"
"15000","Hawaii","8","400","Compensation of employees","21","3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing","(T)","(T)","(T)","(T)","(D)","(D)","(D)","(D)",2,1,"(D)","(D)","(D)","(D)","(D)","(L)","(L)","(D)","(L)","(NA)"
"15000","Hawaii","8","400","Compensation of employees","22","3364-3366, 3369","    Other transportation equipment manufacturing",21,18,19,24,"(D)","(D)","(D)","(D)",33,34,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"15000","Hawaii","8","400","Compensation of employees","23","337","    Furniture and related products manufacturing",18,18,19,24,25,24,27,31,28,29,30,30,24,21,21,20,20,19,20,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","24","339","    Miscellaneous manufacturing",34,37,39,40,42,41,45,47,56,57,57,55,51,53,53,55,47,47,47,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","25","...","   Nondurable goods manufacturing",390,381,401,415,"(D)","(D)","(D)",450,462,475,492,491,456,453,467,496,522,554,560,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","26","311-312","    Food and beverage and tobacco products manufacturing",228,235,245,245,245,241,249,263,271,278,288,285,272,275,277,302,320,347,347,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","27","313-314","    Textile mills and textile product mills",7,5,4,4,4,"(D)",6,6,8,9,11,11,"(D)",8,"(D)","(D)","(D)","(D)","(D)","(NA)"
"15000","Hawaii","8","400","Compensation of employees","28","315-316","    Apparel and leather and allied products manufacturing",31,32,31,37,42,33,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"15000","Hawaii","8","400","Compensation of employees","29","322","    Paper products manufacturing",8,"(T)","(T)","(T)",8,8,10,11,11,11,12,11,5,4,4,2,2,4,6,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","30","323","    Printing and related support activities",54,50,51,53,52,51,52,53,51,50,51,49,39,37,38,39,38,37,36,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","31","324","    Petroleum and coal products manufacturing",32,25,34,39,"(D)",47,51,"(D)","(D)","(D)","(D)","(D)",83,"(D)","(D)","(D)","(D)",87,98,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","32","325","    Chemical products manufacturing",21,19,21,23,29,27,18,20,20,22,25,23,22,22,26,25,26,29,22,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","33","326","    Plastics and rubber products manufacturing","(T)","(T)","(T)","(T)",9,9,9,11,16,16,14,14,12,13,14,17,17,18,19,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","34","42","  Wholesale trade",655,682,692,723,761,780,828,873,935,973,1050,1096,1040,1045,1095,1132,1167,1200,1255,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","35","44-45","  Retail trade",1621,1619,1630,1712,1778,1822,1958,2059,2191,2264,2328,2344,2235,2279,2379,2421,2519,2563,2633,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","36","48-49","  Transportation and warehousing",1073,1139,1134,1195,1219,1167,1200,1259,1396,1473,1567,1423,1256,1293,1412,1508,1632,1686,1838,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","37","481","   Air transportation",550,605,605,632,639,614,617,603,584,571,589,506,447,491,544,605,677,717,788,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","38","482","   Rail transportation","(T)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","39","483","   Water transportation",59,67,61,61,75,50,56,102,183,253,273,200,142,133,143,144,152,154,165,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","40","484","   Truck transportation",96,102,109,116,121,127,133,136,156,161,173,169,152,152,165,171,178,184,197,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","41","485","   Transit and ground passenger transportation",45,44,45,46,47,46,49,50,54,60,63,63,65,69,77,85,97,99,103,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","42","486","   Pipeline transportation","(T)","(T)","(T)","(T)",0,0,0,0,"(D)","(D)","(D)",0,0,0,0,0,0,0,0,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","43","487-488, 492","   Other transportation and support activities",299,295,299,323,319,309,319,337,"(D)","(D)","(D)",449,413,412,450,470,495,499,"(D)","(NA)"
"15000","Hawaii","8","400","Compensation of employees","44","493","   Warehousing and storage",24,26,16,17,19,20,26,30,34,32,36,37,36,36,33,33,33,32,"(D)","(NA)"
"15000","Hawaii","8","400","Compensation of employees","45","51","  Information",538,541,574,628,639,640,632,685,682,720,737,710,677,723,663,666,694,713,747,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","46","511","   Publishing industries, except Internet (includes software)",116,138,149,158,179,159,165,171,174,174,184,173,158,131,119,117,122,127,126,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","47","512","   Motion picture and sound recording industries",47,42,40,62,36,57,46,80,67,58,74,68,68,150,90,88,93,78,96,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","48","515, 517","   Broadcasting and telecommunications",353,338,357,373,379,370,367,379,387,430,429,423,414,405,416,419,437,464,481,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","49","518, 519","   Data processing, internet publishing, and other information services",21,23,28,34,46,55,54,54,54,58,50,45,36,37,38,41,42,44,43,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","50","52, 53","  Finance, insurance, real estate, rental, and leasing",1226,1315,1345,1382,1408,1507,1548,1667,1767,1821,1850,1842,1726,1738,1823,1897,1953,1989,2125,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","51","52","   Finance and insurance",836,912,923,935,942,1021,1026,1107,1159,1196,1202,1222,1157,1156,1224,1266,1277,1294,1382,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","52","521-522","    Federal Reserve banks, credit intermediation, and related services",393,454,451,440,431,503,511,549,547,543,539,"(D)",510,492,507,535,525,519,558,"(NA)"
"15000","Hawaii","8","400","Compensation of employees","53","523","    Securities, commodity contracts, and investments",101,96,113,130,128,124,105,116,145,159,166,"(D)",128,138,150,142,155,164,167,"(NA)"
