"Metric 11: Percentage attainment of the Energy Efficiency Portfolio Standard (EEPS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://puc.hawaii.gov/reports/puc-annual-reports ","","","","","","Red indicates data not yet found","","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","",""
"http://www.eia.gov/electricity/data/state/annual_generation_state.xls","","","","","","Gray Box indicates data not applicable","","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","",""
"","","","Units","Source","Notes","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2030 Goals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Buisness as usual 2030 Electricity Sales (MWh)","14333333.3333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Revised 2030 Energy Sales with EE Reduction (MWh)","10033333.3333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","40% of Revised 2030 Sales to be renewable (MWh)","4013333.33333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Total Energy Sales as Percent of Revised 2030 Sales","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Total Energy Sales","","","","1.13704873754","0.96923910299","0.978119401993","0.996341960133","1.01798352159","1.05016026578","1.05321478405","1.05622534884","1.05794531561","1.03785727575","1.01164524917","1.00025033223","0.995469767442","0.960713421927","0.946942624585","0.937491627907","0.935738471761","0.925357774086","0.910518039867","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Total Energy Savings as Percent of 4,300 GWh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Total EE","","","","#N/A","#N/A","#N/A","#N/A","0.00171790697674","0.00618488372093","0.123375348837","0.139576744186","0.171232093023","0.201722093023","0.21832744186","0.253133953488","0.280814186047","0.324264883721","0.347485581395","0.366540232558","0.385513023256","0.00780209302326","0.00811627906977","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Total Renewable Generation as Percent of Revised 2030 Sales","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","All Utiltiies","","","","","0.159966777409","0.169684385382","0.153239202658","0.129318936877","0.168477408638","0.183871594684","0.178413289037","0.215565199336","0.235342774086","0.243587790698","0.240402906977","0.237064285714","0.296330481728","0.331469601329","0.428214368771","0.499377408638","0.547873504983","0.61445755814","0.629361129568","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
