"ChangeOther Biomass","Other Biomass","","MW","","","0","-4","-45","-41","-41","-41","-41","-41","-41","72","72","71.8","71.8","105.4","101.4","101.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ChangeOther Gases","Other Gases","","MW","","","0","0","0","0","0","0","0","0","0","0","0","3.2","-3","-3","-3","0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ChangeSolar Thermal and Photovoltaic","Solar Thermal and Photovoltaic","","MW","","","0","0","0","0","0","1.8","2.4","5.244","14.169","26.439","43.605","83.145","181.397","276.2","32.2","44.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ChangeWind","Wind","","MW","","","0","-1","-1","-1","-1","-1","31","52","52","52","50","79.6","193.6","193.6","193.6","193.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Annual Change in MW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AnChange","Annual Change in MW","","Unit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AnChangeAll Renewables","All Renewables","","MW","","","0","-6","-42","2","0","3.8","32.6","23.844","8.925","125.27","15.166","72.04","223.352","128.403","-248.0","15.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"AnChangeGeothermal","Geothermal","","MW","","","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"AnChangeHydroelectric","Hydroelectric","","MW","","","0","-1","-1","-2","0","2","0","0","0","0","0","-0.1","1.3","0.0","0.0","0.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"AnChangeOther Biomass","Other Biomass","","MW","","","0","-4","-41","4","0","0","0","0","0","113","0","-0.2","0.0","33.6","-4.0","0.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"AnChangeOther Gases","Other Gases","","MW","","","0","0","0","0","0","0","0","0","0","0","0","3.2","-6.2","0","0","3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"AnChangeSolar Thermal and Photovoltaic","Solar Thermal and Photovoltaic","","MW","","","0","0","0","0","0","1.8","0.6","2.844","8.925","12.27","17.166","39.54","98.252","94.803","-244.0","12.0","-44.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AnChangeWind","Wind","","MW","","","0","-1","0","0","0","0","32","21","0","0","-2","29.6","114.0","0.0","0.0","0.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
