"Metric 10: Percentage attainment of the Renewable Portfolio Standard (RPS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://puc.hawaii.gov/reports/puc-annual-reports ","","","","","","Red indicates data not yet found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://www.eia.gov/electricity/data/state/annual_generation_state.xls","","","","","","Gray Box indicates data not applicable","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Biofuels ","","","","0","0","0","0","0","0","0","0","0","0","3307","1575","44722","21259","28508","36175","52424","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","Municipal Waste","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HECORenewable Electricity","Renewable Electricity","Total","","","","327000","325000","303000","327000","368200","369400","333400","395500","327700","363014","379298","344809","484826","530853","801009","1029070","1159629","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","HELCO","MWh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Hydro","","","","0","0","0","0","0","0","40000","56000","42300","36053","59889","29189","45300","57613","35410","43005","63275","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","Geothermal","","","","0","0","0","0","0","0","221000","212000","230000","234334","167591","201587","232906","266234","281417","255027","230495","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","Wind ","","","","0","0","0","0","0","0","7000","25000","116400","128306","140687","140956","157329","154688","151552","136096","132293","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","Biomass ","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","Solar ","","","","0","0","0","0","0","0","1600","2200","4400","4793","9563","11890","17814","28527","48996","69012","92248","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","Biofuels ","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","Municipal Waste","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HELCORenewable Electricity","Renewable Electricity","Total","","","","260000","311000","274000","123000","216400","256500","269600","295200","393100","403486","377730","383622","453349","507062","517375","503140","518311","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","MECO","MWh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Hydro","","","","0","0","0","0","0","0","75000","79000","69000","5910","10009","6701","6206","7453","4745","8150","9823","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","Geothermal","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","Wind ","","","","0","0","0","0","0","0","0","57000","126000","108987","109668","120227","123023","158158","230305","257907","264291","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","Biomass ","","","","0","0","0","0","0","0","0","0","0","53587","38432","44238","43577","39392","41122","43153","30870","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","Solar ","","","","0","0","0","0","0","0","300","700","1300","1906","6156","9809","14932","31968","52614","71223","96860","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","Biofuels ","","","","0","0","0","0","0","0","100","200","1400","1539","1570","1585","14532","1348","1281","918","988","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","Municipal Waste","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MECORenewable Electricity","Renewable Electricity","Total","","","","55000","45000","38000","69000","66000","74200","75400","136900","197700","171929","165835","182560","202270","238319","330067","381351","402832","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","KIUC","MWh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Hydro","","","","0","0","0","0","25490","37491","37491","37119","26462","35608","36930","34205","38917","38912","33351","34291","33636","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","Geothermal","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","Wind ","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","Biomass ","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","Solar ","","","","0","0","0","0","66","90","231.879070758","293.202461372","513.58339639","3561.816","5024.264","6221.773","9890.11","15128.765","24267.5282527","33972.9436318","1787","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","Biofuels ","","","","'Input RPS'!UNKNOWN1:UNKNOWN138","'Input RPS'!UNKNOWN1:UNKNOWN138","'Input RPS'!UNKNOWN1:UNKNOWN138","'Input RPS'!UNKNOWN1:UNKNOWN138","'Input RPS'!UNKNOWN1:UNKNOWN138","257","409","323","433","'Input RPS'!UNKNOWN1:UNKNOWN138","'Input RPS'!UNKNOWN1:UNKNOWN138","'Input RPS'!UNKNOWN1:UNKNOWN138","'Input RPS'!UNKNOWN1:UNKNOWN138","'Input RPS'!UNKNOWN1:UNKNOWN138","'Input RPS'!UNKNOWN1:UNKNOWN138","'Input RPS'!UNKNOWN1:UNKNOWN138","'Input RPS'!UNKNOWN1:UNKNOWN138","'Input RPS'!UNKNOWN1:UNKNOWN138","'Input RPS'!UNKNOWN1:UNKNOWN138","'Input RPS'!UNKNOWN1:UNKNOWN138","'Input RPS'!UNKNOWN1:UNKNOWN138","'Input RPS'!UNKNOWN1:UNKNOWN138","'Input RPS'!UNKNOWN1:UNKNOWN138","'Input RPS'!UNKNOWN1:UNKNOWN138","'Input RPS'!UNKNOWN1:UNKNOWN138","'Input RPS'!UNKNOWN1:UNKNOWN138","'Input RPS'!UNKNOWN1:UNKNOWN138","'Input RPS'!UNKNOWN1:UNKNOWN138","'Input RPS'!UNKNOWN1:UNKNOWN138","'Input RPS'!UNKNOWN1:UNKNOWN138","'Input RPS'!UNKNOWN1:UNKNOWN138","'Input RPS'!UNKNOWN1:UNKNOWN138"
"","","Municipal Waste","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KIUCRenewable Electricity","Renewable Electricity","Total","","","","0","0","0","0","25556","37838","38131.8790708","37735.2024614","27408.5833964","39169.816","41954.264","40426.773","48828.11","54063.765","70115.5282527","90605.9436318","118014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","All Utilities","MWh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Hydro","","","","0","0","0","0","25490","37491","152491","172119","137762","77571","106828","70095","90423","103978","73506","85446","106734","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","Geothermal","","","","0","0","0","0","0","0","221000","212000","230000","234334","167591","201587","232906","266234","281417","255027","230495","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","Wind ","","","","0","0","0","0","0","0","7000","82000","242400","237293","250355","261206","344376","388256","503548","577867","612781","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","Biomass ","","","","0","0","0","0","0","0","333000","395000","326000","412598","398755","358852","365266","341790","415691","433164","416716","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","Solar ","","","","0","0","0","0","66","90","2531.87907076","3693.20246137","7913.58339639","14263.816","36411.264","56517.773","97027.11","207409.765","402118.528253","593227.943632","696057","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","Biofuels ","","","","0","0","0","0","0","257","509","523","1833","1539","4877","3160","59254","22607","29789","37093","53412","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","Municipal Waste","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TotalRenewable Electricity","Renewable Electricity","Total","","","","642000","681000","615000","519000","676156","737938","716531.879071","865335.202461","945908.583396","977598.816","964817.264","951417.773","1189273.11","1330297.765","1718566.52825","2004166.94363","2198786","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EEPS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","HECO","MWh","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://www.heco.com/vcmcontent/StaticFiles/pdf/2006_RPS_Report_to_PUC_Filed_wo_Cover_Ltr.pdf
http://www.heco.com/vcmcontent/StaticFiles/pdf/2007_RPs_Report-to-PUC_draft_080530_FINAL.pdf
http://www.heco.com/vcmcontent/StaticFiles/pdf/HECO_RPS_2008_Status_Report.pdf
www.heco.com/vcmcontent/StaticFiles/pdf/2009_rps.pdf
http://www.heco.com/vcmcontent/StaticFiles/pdf/2010_rps.pdf
 http://www.heco.com/vcmcontent/StaticFiles/pdf/2012-05-04_RPS%20Report_2011.pdf  ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","  Displacement Tech: Photovoltaic Systems","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","  Displacement Tech: Solar Water Heating","","","","0","0","0","0","0","0","51000","58000","66000","75988","86967","122801","129314","113541","100997","86719","72441","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","  Energy Efficiency Technologies Total","","","","0","0","0","0","0","0","292000","340000","453000","604007","651278","738337","821136","958155","1039167","1117117","1195067","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","Total EE","","","","0","0","0","0","0","0","343000","398000","519000","679995","738245","861138","950450","1090167","1162109","1228751","1295393","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","HELCO","MWh","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://www.heco.com/vcmcontent/StaticFiles/pdf/2006_RPS_Report_to_PUC_Filed_wo_Cover_Ltr.pdf
http://www.heco.com/vcmcontent/StaticFiles/pdf/2007_RPs_Report-to-PUC_draft_080530_FINAL.pdf
http://www.heco.com/vcmcontent/StaticFiles/pdf/HECO_RPS_2008_Status_Report.pdf
www.heco.com/vcmcontent/StaticFiles/pdf/2009_rps.pdf
http://www.heco.com/vcmcontent/StaticFiles/pdf/2010_rps.pdf
 http://www.heco.com/vcmcontent/StaticFiles/pdf/2012-05-04_RPS%20Report_2011.pdf  ","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","  Displacement Tech: Photovoltaic Systems","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","  Displacement Tech: Solar Water Heating","","","","0","0","0","0","0","0","10000","11000","13000","13862","14501","19572","20678","17919","16678","15317","13956","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","  Energy Efficiency Technologies Total","","","","0","0","0","0","0","0","49000","54000","57000","47051","49760","62359","76622","97765","114116","123070","132024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","Total EE","","","","0","0","0","0","0","0","59000","65000","70000","60913","64261","81931","97300","119618","135422","143468","151514","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","MECO","MWh","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://www.heco.com/vcmcontent/StaticFiles/pdf/2006_RPS_Report_to_PUC_Filed_wo_Cover_Ltr.pdf
http://www.heco.com/vcmcontent/StaticFiles/pdf/2007_RPs_Report-to-PUC_draft_080530_FINAL.pdf
http://www.heco.com/vcmcontent/StaticFiles/pdf/HECO_RPS_2008_Status_Report.pdf
www.heco.com/vcmcontent/StaticFiles/pdf/2009_rps.pdf
http://www.heco.com/vcmcontent/StaticFiles/pdf/2010_rps.pdf
 http://www.heco.com/vcmcontent/StaticFiles/pdf/2012-05-04_RPS%20Report_2011.pdf  ","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","  Displacement Tech: Photovoltaic Systems","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","  Displacement Tech: Solar Water Heating","","","","0","0","0","0","0","0","23000","26000","30000","27429","28492","29683","30181","28341","26774","24216","21658","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","  Energy Efficiency Technologies Total","","","","0","0","0","0","0","0","77000","82000","88000","79835","88593","98813","111306","129340","144281","154216","164151","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","Total EE","","","","0","0","0","0","0","0","100000","108000","118000","107264","117085","128496","141487","160186","174216","182534","190852","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","KIUC","MWh","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","  Customer Renewable Generation","MWh","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","  Solar Water Heating","MWh","","","0","0","0","0","7387","7558","7659","7831","7937","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","  Net Energy Metering","MWh","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","  Demand Side Management","MWh","","","0","0","0","0","0","19037","20855","21349","21361","19233","19217","16911","18264","24368","22441","21370","19947","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","Total EE","","","","0","0","0","0","7387","26595","28514","29180","29298","19233","19217","16911","18264","24368","22441","21370","19947","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","Total","MWh","","","0","0","0","0","7387","26595","530514","600180","736298","867405","938808","1088476","1207501","1394339","1494188","1576123","1657706","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RPS Total MWh pre-2015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HECO","","HECO","MWh","","","327000","325000","303000","327000","368200","369400","676400","793500","846700","1043009","1117543","1205947","1435276","1621020","1963118","2257821","2455022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HELCO","","HELCO","MWh","","","260000","311000","274000","123000","216400","256500","328600","360200","463100","464399","441991","465553","550649","626680","652797","646608","669825","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MECO","","MECO","MWh","","","55000","45000","38000","69000","66000","74200","175400","244900","315700","279193","282920","311056","343757","398505","504283","563885","593684","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","All HECO Companies","","MWh","","","642000","681000","615000","519000","650600","700100","1180400","1398600","1625500","1786601","1842454","1982556","2329682","2646205","3120198","3468314","3718531","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"KIUC","","KIUC","MWh","","","0","0","0","0","32943","64433","66645.8790708","66915.2024614","56706.5833964","58402.816","61171.264","57337.773","67092.11","78431.765","92556.5282527","111975.943632","137961","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","All Utiltiies","","","","","642000","681000","615000","519000","683543","764533","1247045.87907","1465515.20246","1682206.5834","1845003.816","1903625.264","2039893.773","2396774.11","2724636.765","3212754.52825","3580289.94363","3856492","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RPS Total MWh post-2015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HECO","","HECO","MWh","","","327000","325000","303000","327000","368200","369400","333400","395500","327700","363014","379298","344809","484826","530853","801009","1029070","1159629","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HELCO","","HELCO","MWh","","","260000","311000","274000","123000","216400","256500","269600","295200","393100","403486","377730","383622","453349","507062","517375","503140","518311","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MECO","","MECO","MWh","","","55000","45000","38000","69000","66000","74200","75400","136900","197700","171929","165835","182560","202270","238319","330067","381351","402832","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","All HECO Companies","","MWh","","","642000","681000","615000","519000","650600","700100","678400","827600","918500","938429","922863","910991","1140445","1276234","1648451","1913561","2080772","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"KIUC","","KIUC","MWh","","","0","0","0","0","25556","37838","38131.8790708","37735.2024614","27408.5833964","39169.816","41954.264","40426.773","48828.11","54063.765","70115.5282527","90605.9436318","118014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","All Utiltiies","","","","","642000","681000","615000","519000","676156","737938","716531.879071","865335.202461","945908.583396","977598.816","964817.264","951417.773","1189273.11","1330297.765","1718566.52825","2004166.94363","2198786","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RPSA (u,y): Annual percentage renewable electricity generated of total electricity sold from source s by utility u","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HECO","","HECO","percentage","","","0.036341409202","0.0450637825846","0.0416380376529","0.044248985115","0.0489497474076","0.0477693004009","0.043180935112","0.0513569666277","0.0426970684039","0.0480433861367","0.0514125513705","0.0473819086908","0.0669435488203","0.076097090652","0.116790084648","0.151742971674","0.171693033681","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!"
"HELCO","","HELCO","percentage","","","0.281995661605","0.325995807128","0.285714285714","0.123618090452","0.206883365201","0.236842105263","0.241360787825","0.256919060052","0.338005159071","0.353615592929","0.33729476614","0.345672982916","0.410801470135","0.467264606223","0.480785314431","0.473534170148","0.48677526449","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!"
"MECO","","MECO","percentage","","","0.0516431924883","0.0406871609403","0.0335097001764","0.0595340811044","0.0546810273405","0.0595028067362","0.0602236421725","0.108135860979","0.154453125","0.138738795444","0.139094966378","0.153211045362","0.171266339606","0.208169408263","0.290840472899","0.336865844093","0.354097553686","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!"
"","All HECO Companies","","MWh","","","0.0584433318161","0.0734469370147","0.0656350053362","0.0543797150042","0.066557544757","0.0695716983007","0.0672348860258","0.0818109924871","0.0907788100415","0.0944452719445","0.0952420316872","0.0951071929205","0.119707766706","0.138630690705","0.181757388737","0.213180638401","0.232319819644","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!"
"KIUC","","KIUC","percentage","","","0.0","0.0","0.0","0.0","0.0582449039128","0.0798930761305","0.0798983333244","0.0783764468179","0.055179364139","0.0821259676107","0.0911033217303","0.088408203834","0.105924472472","0.124812747744","0.162500818704","0.210748745434","0.273131240193","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!"
"","","","","","","","","","","","","","","","","","","0.11907162581","0.138009747843","0.180882870877","0.213069484807","0.234198029605","","","","","","","","","","","","","","",""
"RE2030 (u,y): Pre 2015 Renewable Energy generated as Percent of 2030 BAU Sales Projections","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HECO","","HECO","percentage","","","0.0228139534884","0.0226744186047","0.0211395348837","0.0228139534884","0.025688372093","0.0257720930233","0.0471906976744","0.0553604651163","0.0590720930233","0.0727680697674","0.0779681162791","0.0841358372093","0.100135534884","0.113094418605","0.13696172093","0.157522395349","0.171280604651","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"HELCO","","HELCO","percentage","","","0.0181395348837","0.0216976744186","0.0191162790698","0.00858139534884","0.0150976744186","0.0178953488372","0.0229255813953","0.0251302325581","0.0323093023256","0.0323999302326","0.0308365813953","0.0324804418605","0.038417372093","0.0437218604651","0.0455439767442","0.0451121860465","0.0467319767442","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MECO","","MECO","percentage","","","0.00383720930233","0.00313953488372","0.0026511627907","0.00481395348837","0.00460465116279","0.00517674418605","0.0122372093023","0.0170860465116","0.0220255813953","0.0194785813953","0.0197386046512","0.0217015813953","0.0239830465116","0.0278026744186","0.0351825348837","0.0393408139535","0.0414198139535","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","All HECO Companies","","MWh","","","0.0447906976744","0.047511627907","0.0429069767442","0.0362093023256","0.0453906976744","0.0488441860465","0.0823534883721","0.097576744186","0.113406976744","0.124646581395","0.128543302326","0.138317860465","0.162535953488","0.184618953488","0.217688232558","0.241975395349","0.259432395349","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"KIUC","","KIUC","percentage","","","0.0","0.0","0.0","0.0","0.00229834883721","0.0044953255814","0.00464971249331","0.00466850249731","0.00395627326021","0.00407461506977","0.00426776260465","0.00400030974419","0.00468084488372","0.00547198360465","0.00645743220368","0.0078122751371","0.00962518604651","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
