"Metric 16: MWh and MWh per year energy savings from energy efficiency programs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://puc.hawaii.gov/reports/puc-annual-reports ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q: Use displacement technolgoies too?","","","","","","","","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","",""
"http://www.eia.gov/electricity/data/state/annual_generation_state.xls","","","","","","","","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","",""
"","","","Units","Source","Notes","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"","","  Displacement Tech: Solar Water Heating","","","","0","0","0","0","0","0","51000","58000","66000","75988","86967","122801","129314","113541","100997","86719","72441","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","  Energy Efficiency Technologies","","","","0","0","0","0","0","0","292000","340000","453000","604007","651278","738337","821136","958155","1039167","1117117","1195067","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total EEHECO","","Total EE","","","","0","0","0","0","0","0","343000","398000","519000","679995","738245","861138","950450","1090167","1162109","1228751","1295393","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","HELCO","MWh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","  Displacement Tech: Solar Water Heating","","","","0","0","0","0","0","0","10000","11000","13000","13862","14501","19572","20678","17919","16678","15317","13956","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","  Energy Efficiency Technologies","","","","0","0","0","0","0","0","49000","54000","57000","47051","49760","62359","76622","97765","114116","123070","132024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total EEHELCO","","Total EE","","","","0","0","0","0","0","0","59000","65000","70000","60913","64261","81931","97300","119618","135422","143468","151514","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","MECO","MWh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","  Displacement Tech: Solar Water Heating","","","","0","0","0","0","0","0","23000","26000","30000","27429","28492","29683","30181","28341","26774","24216","21658","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","  Energy Efficiency Technologies","","","","0","0","0","0","0","0","77000","82000","88000","79835","88593","98813","111306","129340","144281","154216","164151","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total EEMECO","","Total EE","","","","0","0","0","0","0","0","100000","108000","118000","107264","117085","128496","141487","160186","174216","182534","190852","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","KIUC","MWh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","  Displacement Tech: Solar Water Heating","","","","0","0","0","0","7387","7558","7659","7831","7937","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","  Energy Efficiency Technologies","","","","0","0","0","0","0","19037","20855","21349","21361","19233","19217","16911","18264","24368","22441","21370","19947","33549","34900","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total EEKIUC","","Total EE","","","","0","0","0","0","7387","26595","28514","29180","29298","19233","19217","16911","18264","24368","22441","21370","19947","33549","34900","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","All Utilities","MWh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","  Displacement Tech: Solar Water Heating","","","","0","0","0","0","7387","7558","91659","102831","116937","117279","129960","172056","180173","159801","144449","126252","108055","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","  Energy Efficiency Technologies","","","","0","0","0","0","0","19037","438855","497349","619361","750126","808848","916420","1027328","1209628","1320005","1415773","1511189","33549","34900","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total EETotal","","Total EE","","","","#N/A","#N/A","#N/A","#N/A","7387","26595","530514","600180","736298","867405","938808","1088476","1207501","1394339","1494188","1576123","1657706","33549","34900","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
