"Metric 11: Percentage attainment of the Energy Efficiency Portfolio Standard (EEPS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://puc.hawaii.gov/reports/puc-annual-reports ","","","","","","Red indicates data not yet found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://www.eia.gov/electricity/data/state/annual_generation_state.xls","","","","","","Gray Box indicates data not applicable","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Units","Source","Notes","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"MECOTotal Renewable","Total Renewable","MECO","MWh","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://www.heco.com/vcmcontent/StaticFiles/pdf/2006_RPS_Report_to_PUC_Filed_wo_Cover_Ltr.pdf
http://www.heco.com/vcmcontent/StaticFiles/pdf/2007_RPs_Report-to-PUC_draft_080530_FINAL.pdf
http://www.heco.com/vcmcontent/StaticFiles/pdf/HECO_RPS_2008_Status_Report.pdf
www.heco.com/vcmcontent/StaticFiles/pdf/2009_rps.pdf
http://www.heco.com/vcmcontent/StaticFiles/pdf/2010_rps.pdf
 http://www.heco.com/vcmcontent/StaticFiles/pdf/2012-05-04_RPS%20Report_2011.pdf  ","","1010000","1061000","1096000","1090000","1141000","1172800","1176600","1129100","1082300","1067299","1026408","1008999","978756","906513","804806","750705","734798","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"KIUCTotal Renewable","Total Renewable","KIUC","MWh","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://dms.puc.hawaii.gov/dms/OpenDocServlet?RT=&document_id=91+3+ICM4+LSDB15+PC_DocketReport59+26+A1001001A12D04B24000E5143818+A12D04B24000E514381+14+1960","","423389","452699","443798","452631","413212","435770","439123.120929","443725.797539","469309.416604","437778.184","418558.736","416847.227","412142.89","379095.235","361362.471747","339318.056368","314064","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TotalTotal Renewable","Total Renewable","Total","MWh","","","10766389","9043699","9198798","9477631","9537612","9798670","9850723.12093","9732125.79754","9668809.4166","9435569.184","9185356.736","9084427.227","8798606.89","8308860.235","7782424.47175","7401999.05637","7189790","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Variable ES(u,p,y): Electricity saved by utility u in year y ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","HECO","MWh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","  Displacement Tech: Photovoltaic Systems","","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://dms.puc.hawaii.gov/dms/OpenDocServlet?RT=&document_id=91+3+ICM4+LSDB15+PC_DocketReport59+26+A1001001A12D04B24000E5143818+A12D04B24000E514381+14+1960","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","  Displacement Tech: Solar Water Heating","","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://dms.puc.hawaii.gov/dms/OpenDocServlet?RT=&document_id=91+3+ICM4+LSDB15+PC_DocketReport59+26+A1001001A12D04B24000E5143818+A12D04B24000E514381+14+1960","","0","0","0","0","0","0","51000","58000","66000","75988","86967","122801","129314","113541","100997","86719","72441","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","  Energy Efficiency Technologies","","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://dms.puc.hawaii.gov/dms/OpenDocServlet?RT=&document_id=91+3+ICM4+LSDB15+PC_DocketReport59+26+A1001001A12D04B24000E5143818+A12D04B24000E514381+14+1960","","0","0","0","0","0","0","292000","340000","453000","604007","651278","738337","821136","958155","1039167","1117117","1195067","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total EEHECO","","Total EE","","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://dms.puc.hawaii.gov/dms/OpenDocServlet?RT=&document_id=91+3+ICM4+LSDB15+PC_DocketReport59+26+A1001001A12D04B24000E5143818+A12D04B24000E514381+14+1960","","0","0","0","0","0","0","343000","398000","519000","679995","738245","861138","950450","1090167","1162109","1228751","1295393","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","HELCO","MWh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","  Displacement Tech: Photovoltaic Systems","","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://dms.puc.hawaii.gov/dms/OpenDocServlet?RT=&document_id=91+3+ICM4+LSDB15+PC_DocketReport59+26+A1001001A12D04B24000E5143818+A12D04B24000E514381+14+1960","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","  Displacement Tech: Solar Water Heating","","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://dms.puc.hawaii.gov/dms/OpenDocServlet?RT=&document_id=91+3+ICM4+LSDB15+PC_DocketReport59+26+A1001001A12D04B24000E5143818+A12D04B24000E514381+14+1960","","0","0","0","0","0","0","10000","11000","13000","13862","14501","19572","20678","17919","16678","15317","13956","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","  Energy Efficiency Technologies","","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://dms.puc.hawaii.gov/dms/OpenDocServlet?RT=&document_id=91+3+ICM4+LSDB15+PC_DocketReport59+26+A1001001A12D04B24000E5143818+A12D04B24000E514381+14+1960","","0","0","0","0","0","0","49000","54000","57000","47051","49760","62359","76622","97765","114116","123070","132024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total EEHELCO","","Total EE","","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://dms.puc.hawaii.gov/dms/OpenDocServlet?RT=&document_id=91+3+ICM4+LSDB15+PC_DocketReport59+26+A1001001A12D04B24000E5143818+A12D04B24000E514381+14+1960","","0","0","0","0","0","0","59000","65000","70000","60913","64261","81931","97300","119618","135422","143468","151514","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","MECO","MWh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","  Displacement Tech: Photovoltaic Systems","","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://dms.puc.hawaii.gov/dms/OpenDocServlet?RT=&document_id=91+3+ICM4+LSDB15+PC_DocketReport59+26+A1001001A12D04B24000E5143818+A12D04B24000E514381+14+1960","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","  Displacement Tech: Solar Water Heating","","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://dms.puc.hawaii.gov/dms/OpenDocServlet?RT=&document_id=91+3+ICM4+LSDB15+PC_DocketReport59+26+A1001001A12D04B24000E5143818+A12D04B24000E514381+14+1960","","0","0","0","0","0","0","23000","26000","30000","27429","28492","29683","30181","28341","26774","24216","21658","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","  Energy Efficiency Technologies","","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://dms.puc.hawaii.gov/dms/OpenDocServlet?RT=&document_id=91+3+ICM4+LSDB15+PC_DocketReport59+26+A1001001A12D04B24000E5143818+A12D04B24000E514381+14+1960","","0","0","0","0","0","0","77000","82000","88000","79835","88593","98813","111306","129340","144281","154216","164151","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total EEMECO","","Total EE","","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://dms.puc.hawaii.gov/dms/OpenDocServlet?RT=&document_id=91+3+ICM4+LSDB15+PC_DocketReport59+26+A1001001A12D04B24000E5143818+A12D04B24000E514381+14+1960","","0","0","0","0","0","0","100000","108000","118000","107264","117085","128496","141487","160186","174216","182534","190852","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","All Heco Companies","MWh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","  Displacement Tech: Photovoltaic Systems","","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://dms.puc.hawaii.gov/dms/OpenDocServlet?RT=&document_id=91+3+ICM4+LSDB15+PC_DocketReport59+26+A1001001A12D04B24000E5143818+A12D04B24000E514381+14+1960","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","  Displacement Tech: Solar Water Heating","","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://dms.puc.hawaii.gov/dms/OpenDocServlet?RT=&document_id=91+3+ICM4+LSDB15+PC_DocketReport59+26+A1001001A12D04B24000E5143818+A12D04B24000E514381+14+1960","","0","0","0","0","0","0","84000","95000","109000","117279","129960","172056","180173","159801","144449","126252","108055","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","  Energy Efficiency Technologies","","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://dms.puc.hawaii.gov/dms/OpenDocServlet?RT=&document_id=91+3+ICM4+LSDB15+PC_DocketReport59+26+A1001001A12D04B24000E5143818+A12D04B24000E514381+14+1960","","0","0","0","0","0","0","418000","476000","598000","730893","789631","899509","1009064","1185260","1297564","1394403","1491242","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total EEAll Heco Companies","","Total EE","","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://dms.puc.hawaii.gov/dms/OpenDocServlet?RT=&document_id=91+3+ICM4+LSDB15+PC_DocketReport59+26+A1001001A12D04B24000E5143818+A12D04B24000E514381+14+1960","","0","0","0","0","0","0","502000","571000","707000","848172","919591","1071565","1189237","1369971","1471747","1554753","1637759","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","KIUC","MWh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","  Displacement Tech: Photovoltaic Systems","","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://dms.puc.hawaii.gov/dms/OpenDocServlet?RT=&document_id=91+3+ICM4+LSDB15+PC_DocketReport59+26+A1001001A12D04B24000E5143818+A12D04B24000E514381+14+1960","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","  Displacement Tech: Solar Water Heating","","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://dms.puc.hawaii.gov/dms/OpenDocServlet?RT=&document_id=91+3+ICM4+LSDB15+PC_DocketReport59+26+A1001001A12D04B24000E5143818+A12D04B24000E514381+14+1960","","0","0","0","0","7387","7558","7659","7831","7937","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","  Energy Efficiency Technologies","","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://dms.puc.hawaii.gov/dms/OpenDocServlet?RT=&document_id=91+3+ICM4+LSDB15+PC_DocketReport59+26+A1001001A12D04B24000E5143818+A12D04B24000E514381+14+1960","","0","0","0","0","0","19037","20855","21349","21361","19233","19217","16911","18264","24368","22441","21370","19947","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total EEKIUC","","Total EE","","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://dms.puc.hawaii.gov/dms/OpenDocServlet?RT=&document_id=91+3+ICM4+LSDB15+PC_DocketReport59+26+A1001001A12D04B24000E5143818+A12D04B24000E514381+14+1960","","0","0","0","0","7387","26595","28514","29180","29298","19233","19217","16911","18264","24368","22441","21370","19947","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","All Utilities","MWh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","  Displacement Tech: Photovoltaic Systems","","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://dms.puc.hawaii.gov/dms/OpenDocServlet?RT=&document_id=91+3+ICM4+LSDB15+PC_DocketReport59+26+A1001001A12D04B24000E5143818+A12D04B24000E514381+14+1960","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","  Displacement Tech: Solar Water Heating","","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://dms.puc.hawaii.gov/dms/OpenDocServlet?RT=&document_id=91+3+ICM4+LSDB15+PC_DocketReport59+26+A1001001A12D04B24000E5143818+A12D04B24000E514381+14+1960","","0","0","0","0","7387","7558","91659","102831","116937","117279","129960","172056","180173","159801","144449","126252","108055","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","  Energy Efficiency Technologies","","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://dms.puc.hawaii.gov/dms/OpenDocServlet?RT=&document_id=91+3+ICM4+LSDB15+PC_DocketReport59+26+A1001001A12D04B24000E5143818+A12D04B24000E514381+14+1960","","0","0","0","0","0","19037","438855","497349","619361","750126","808848","916420","1027328","1209628","1320005","1415773","1511189","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total EETotal","","Total EE","","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://dms.puc.hawaii.gov/dms/OpenDocServlet?RT=&document_id=91+3+ICM4+LSDB15+PC_DocketReport59+26+A1001001A12D04B24000E5143818+A12D04B24000E514381+14+1960","","#N/A","#N/A","#N/A","#N/A","7387","26595","530514","600180","736298","867405","938808","1088476","1207501","1394339","1494188","1576123","1657706","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Variable FFEC(u,y): Reduction in Electricity Generated by Fossil Fuel by utility and year","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Total","HECO","MWh","","","","1784000","-87000","-89000","-90800","-209800","-24000","82100","-41800","154352","194709","65819","174935","312342","387616","304932","158141","5594454","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Total","HELCO","MWh","","","","19000","-42000","-187000","42400","3100","-20900","-6400","83900","32356","-4607","15990","75938","72114","19380","-652","12907","546474","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Total","MECO","MWh","","","","-51000","-35000","6000","-51000","-31800","-3800","47500","46800","15001","40891","17409","30243","72243","101707","54101","15907","734798","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Total","All HECO Companies","MWh","","","","1752000","-164000","-270000","-99400","-238500","-48700","123200","88900","201709","230993","99218","281116","456699","508703","358381","186955","6875726","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Total","KIUC","MWh","","","","-29310","8901","-8833","39419","-22558","-3353.12092924","-4602.67660939","-25583.619065","31531.2326036","19219.448","1711.509","4704.337","33047.655","17732.7632527","22044.4153791","25254.0563682","314064","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","All Utiltiies","","","","","","1722690","-155099","-278833","-59981","-261058","-52053.1209292","118597.323391","63316.380935","233240.232604","250212.448","100929.509","285820.337","489746.655","526435.763253","380425.415379","212209.056368","7189790","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Variable ESB(u,p,y): Electricity Savings as Percent of Baseline","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HECOFFSBHECO","Total","HECO","percentage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HECOFFSB  Displacement Tech: Photovoltaic Systems","","  Displacement Tech: Photovoltaic Systems","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"HECOFFSB  Displacement Tech: Solar Water Heating","","  Displacement Tech: Solar Water Heating","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0118604651163","0.013488372093","0.0153488372093","0.017671627907","0.0202248837209","0.028558372093","0.0300730232558","0.0264048837209","0.0234876744186","0.0201672093023","0.016846744186","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"HECOFFSB  Energy Efficiency Technologies Total","","  Energy Efficiency Technologies Total","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0679069767442","0.0790697674419","0.105348837209","0.140466744186","0.15146","0.17170627907","0.190961860465","0.222826744186","0.241666744186","0.259794651163","0.27792255814","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"HECOFFSBTotal EE","","Total EE","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0797674418605","0.0925581395349","0.120697674419","0.158138372093","0.171684883721","0.200264651163","0.221034883721","0.253527209302","0.270257906977","0.285756046512","0.301254186047","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"HELCOFFSBHELCO","Total","HELCO","percentage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HELCOFFSB  Displacement Tech: Photovoltaic Systems","","  Displacement Tech: Photovoltaic Systems","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"HELCOFFSB  Displacement Tech: Solar Water Heating","","  Displacement Tech: Solar Water Heating","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.00232558139535","0.00255813953488","0.00302325581395","0.00322372093023","0.0033723255814","0.00455162790698","0.0048088372093","0.00416720930233","0.00387860465116","0.00356209302326","0.00324558139535","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"HELCOFFSB  Energy Efficiency Technologies Total","","  Energy Efficiency Technologies Total","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0113953488372","0.0125581395349","0.0132558139535","0.0109420930233","0.0115720930233","0.0145020930233","0.0178190697674","0.0227360465116","0.0265386046512","0.0286209302326","0.030703255814","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"HELCOFFSBTotal EE","","Total EE","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0137209302326","0.0151162790698","0.0162790697674","0.0141658139535","0.0149444186047","0.0190537209302","0.0226279069767","0.0278181395349","0.0314934883721","0.0333646511628","0.0352358139535","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MECOFFSBMECO","Total","MECO","percentage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MECOFFSB  Displacement Tech: Photovoltaic Systems","","  Displacement Tech: Photovoltaic Systems","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MECOFFSB  Displacement Tech: Solar Water Heating","","  Displacement Tech: Solar Water Heating","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0053488372093","0.00604651162791","0.00697674418605","0.0063788372093","0.00662604651163","0.00690302325581","0.0070188372093","0.00659093023256","0.00622651162791","0.00563162790698","0.00503674418605","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MECOFFSB  Energy Efficiency Technologies Total","","  Energy Efficiency Technologies Total","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0179069767442","0.0190697674419","0.0204651162791","0.0185662790698","0.0206030232558","0.0229797674419","0.0258851162791","0.0300790697674","0.0335537209302","0.0358641860465","0.0381746511628","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
